company_name,business_type,address,city,phone,email,website,gbp_url,google_rating,review_count,years_in_business,employee_count,categories,facebook,instagram,linkedin,recent_reviews,growth_signals,tech_stack,place_id,icp_score,date_collected,qualification_signals,twitter,data_source,search_location
Brush Concepts House Painting Services,Painter,"11400 49th Pl N, Plymouth, MN 55442",Plymouth,+1612-598-1264,,,https://www.google.com/maps/search/?api=1&query=Brush+Concepts+House+Painting+Services+Plymouth+MN,4.9,26.0,,,Painter,,,,26 reviews,,,ChIJ0a-9SSI2s1IRjwBWSgwI22s,50.0,,,,,
M. Carlson Painting,Painter,"3496 Shoreline Dr, Wayzata, MN 55391",Plymouth,+1952-933-9968,,http://www.mcarlsonpainting.com/,https://www.google.com/maps/search/?api=1&query=M.+Carlson+Painting+Plymouth+MN,5.0,565.0,,,Painter,,,,565 reviews,,,ChIJY-_g6_Qg9ocRwCfjvaum-54,85.0,,,,,
Brennan Heikes Professional Painting LLC,Painter,"612 Morgan Ave S, Minneapolis, MN 55405",Plymouth,+1612-743-4458,brennan@brennanheikespainting.com,https://brennanheikespainting.com/,https://www.google.com/maps/search/?api=1&query=Brennan+Heikes+Professional+Painting+LLC+Plymouth+MN,5.0,79.0,35.0,,Painter,https://www.facebook.com/BHPaint,,,79 reviews,hiring,,ChIJUYDXSR8zs1IR-JaCEwPMkzQ,78.75,,,,,
Cascadia LLC,Painter,"PO Box 85132, Plymouth, MN 55447",Plymouth,+1612-743-7588,,,https://www.google.com/maps/search/?api=1&query=Cascadia+LLC+Plymouth+MN,4.9,24.0,,,Painter,,,,24 reviews,,,ChIJm014brNOs1IRfzVyyWmm8RY,40.0,,,,,
Premium Painting,Painter,"3715 Oregon Ave S Suite 4, Minneapolis, MN 55426",Plymouth,+1612-223-6161,,https://premiumpainting-msp.com/,https://www.google.com/maps/search/?api=1&query=Premium+Painting+Plymouth+MN,5.0,105.0,21.0,,Painter,https://www.facebook.com/p/Premium-Painting-100063837351241/,https://www.instagram.com/premiumpaintingmsp/,,105 reviews,,,ChIJ2awZTyUk9ocR_O3zVMAdpnc,92.5,,,,,
"ProPainters, Inc.",Painter,,Plymouth,+1952-567-1031,admin@propaintersmn.com,https://propaintersmn.com/,"https://www.google.com/maps/search/?api=1&query=ProPainters,+Inc.+Plymouth+MN",4.9,53.0,30.0,10.0,Painter,https://www.facebook.com/propaintersmn/,,,53 reviews,hiring,,ChIJb4qzO_In9ocRe3-g4Mg31Ks,78.75,,,,,
Lovely Paint Company,Painter,,Plymouth,+1612-202-0211,,https://lovelypaintcompany.com/,https://www.google.com/maps/search/?api=1&query=Lovely+Paint+Company+Plymouth+MN,5.0,21.0,,,Painter,http://www.facebook.com/Lovelypaintco/,,,21 reviews,,,ChIJB9x8P04n9ocRq6SFHvvoPeE,58.75,,,,,
"Hokr Painting, Inc",Painter,"2525 Nevada Ave N STE 201, Golden Valley, MN 55427",Plymouth,+1763-551-1922,,http://www.hokrpainting.com/,"https://www.google.com/maps/search/?api=1&query=Hokr+Painting,+Inc+Plymouth+MN",5.0,24.0,,,Painting,https://www.facebook.com/HokrPaintingInc,http://instagram.com/hokrpainting,https://www.linkedin.com/company/hokr-painting-inc.,24 reviews,,,ChIJL4Eafjg0s1IRnvN3AWGf3dw,66.25,,,,,
A Brush of Color Inc,Painter,,Plymouth,+1612-345-2245,,https://abrush-ofcolor.com/,https://www.google.com/maps/search/?api=1&query=A+Brush+of+Color+Inc+Plymouth+MN,5.0,10.0,18.0,,Painter,https://www.facebook.com/abrushofcolorinc/,https://www.instagram.com/abrushofcolorinc/,,10 reviews,,,ChIJR3AkmzuvtFIRe-T9QfEeGIU,62.5,,,,,
Hernandez Painting LLC,Painter,"3580 Underwood Ln N, Plymouth, MN 55441",Plymouth,+1651-442-3413,,,https://www.google.com/maps/search/?api=1&query=Hernandez+Painting+LLC+Plymouth+MN,5.0,24.0,,,Painting,,,,24 reviews,,,ChIJXxRYqyZLs1IRqrGJLj7a6To,40.0,,,,,
SUNSET PAINTING LLC,Painter,"Central Park Way, Maple Grove, MN 55369",Plymouth,+1727-766-4215,,http://www.sunsetpaintingmn.com/,https://www.google.com/maps/search/?api=1&query=SUNSET+PAINTING+LLC+Plymouth+MN,4.9,28.0,,,Painting,,,,28 reviews,,,ChIJpXNoRw45s1IRw__twZ2QCJQ,65.0,,,,,
Revel Painting,Painter,,Plymouth,+1612-345-9136,,https://revel-painting.com/,https://www.google.com/maps/search/?api=1&query=Revel+Painting+Plymouth+MN,4.8,165.0,,,Painter,,,,165 reviews,,,ChIJn_4bVkMzs1IRIXZVIDkLV2U,85.0,,,,,
The Magic Painting Company,Painter,"415 N 1st St Studio D, Minneapolis, MN 55401",Plymouth,+1612-384-1148,,http://magicpainting.com/,https://www.google.com/maps/search/?api=1&query=The+Magic+Painting+Company+Plymouth+MN,5.0,34.0,,,Painter,https://www.facebook.com/magicpaintingco,,,34 reviews,hiring,,ChIJFWnU6vAzs1IRE7mRWi1vLWA,68.75,,,,,
Triple S Homes,Painter,,Plymouth,+1763-222-5339,info@tripleshomepainting.com,http://www.tripleshomepainting.com/,https://www.google.com/maps/search/?api=1&query=Triple+S+Homes+Plymouth+MN,5.0,23.0,,,Painter,https://www.facebook.com/people/Triple-S-Painting/61570826461262/,,,23 reviews,,,ChIJJRMf5HAhnowRk2lGgbfozMo,58.75,,,,,
ProMax Painting,Painter,,Plymouth,+1763-910-4883,55311763.910.4883Info@promaxpaintingmn.comSocials,https://www.promaxpaintingmn.com/,https://www.google.com/maps/search/?api=1&query=ProMax+Painting+Plymouth+MN,5.0,15.0,,,Painter,https://www.facebook.com/profile.php?id=61558177836788&mibextid=LQQJ4d,,,15 reviews,,,ChIJXbFRa7anDwARlvG2z95ILUc,58.75,,,,,
David's Quality Painting Llc,Painter,"5501 Boone Ave N #201, New Hope, MN 55428",Plymouth,+1763-300-1142,,http://www.davidqualitypainting.com/,https://www.google.com/maps/search/?api=1&query=David's+Quality+Painting+Llc+Plymouth+MN,5.0,17.0,,,Painting,https://facebook.com/profile.php,,,17 reviews,,,ChIJKyixQ5k3s1IRIXdIdw0x2w0,58.75,,,,,
Pebble Creek Renovations,Painter,"6130 Olson Mem Hwy, Golden Valley, MN 55422",Plymouth,+1763-269-8775,,https://pebblecreekpainting.com/,https://www.google.com/maps/search/?api=1&query=Pebble+Creek+Renovations+Plymouth+MN,5.0,5.0,,,Painter,,,,5 reviews,,,ChIJS5XXE2089kMR1dDv73QlWwU,50.0,,,,,
Get Fresh Paint,Painter,"6960 Madison Ave W Ste 5, Golden Valley, MN 55427",Plymouth,+1612-325-1409,,https://getfreshpaint.biz/golden-valley-painting?utm_source=GMBlisting&utm_medium=organic,https://www.google.com/maps/search/?api=1&query=Get+Fresh+Paint+Plymouth+MN,5.0,2.0,,,Painter,https://www.facebook.com/Get-Fresh-Paint-110400955688698/,,,2 reviews,,,ChIJyTJsawU1s1IRMFzMrBaWHjA,53.75,,,,,
Grove Painting,Painter,"9100 Rice Lake Rd, Maple Grove, MN 55369",Plymouth,+1612-298-7901,,https://grovepainting.com/,https://www.google.com/maps/search/?api=1&query=Grove+Painting+Plymouth+MN,5.0,11.0,,,Painter,https://www.facebook.com/DIYPaintingTips/,https://www.instagram.com/diypaintingtips/,,11 reviews,,wix,ChIJowpvZ2Qxs1IRlaIJMLu7gTk,62.5,,,,,
H B Painting Co.,Painter,"6417B Goodrich Ave, Minneapolis, MN 55426",Plymouth,+1612-867-8493,mark@hbpainting.com,http://hbpainting.com/,https://www.google.com/maps/search/?api=1&query=H+B+Painting+Co.+Plymouth+MN,5.0,63.0,,,Painting,,,,63 reviews,,,ChIJJVAgqZUg9ocRvD-EL5RaNT8,75.0,,,,,
Wolf Power Wash and Paint LLC,Painter,"8843 N 42nd Ave, New Hope, MN 55427",Plymouth,+1612-282-5438,,https://wolfpaint.pro/,https://www.google.com/maps/search/?api=1&query=Wolf+Power+Wash+and+Paint+LLC+Plymouth+MN,5.0,18.0,,,Painter,https://www.facebook.com/profile.php?id=61551227796174,https://www.instagram.com/wolfpowerwashpaint?igsh=MTc1eDgxMG92ZGc3eg==,,18 reviews,,,ChIJURiKy-Y3s1IRFzi5zVqqobA,62.5,,,,,
Painting By Jerry Wind,Painter,"3129 35th Ave S, Minneapolis, MN 55406",Plymouth,+1651-699-6140,,https://www.paintingbyjerrywind.com/,https://www.google.com/maps/search/?api=1&query=Painting+By+Jerry+Wind+Plymouth+MN,4.9,41.0,,,Painter,,,,41 reviews,,,ChIJSSrW7Jop9ocRZM_0F_Dwmec,65.0,,,,,
Equity King Painting and Refinishing,Painter,,Plymouth,+1763-300-3983,,,https://www.google.com/maps/search/?api=1&query=Equity+King+Painting+and+Refinishing+Plymouth+MN,5.0,5.0,,,Painter,,,,5 reviews,,,ChIJS0E5I2Y2s1IRP1sMoiEbkLY,35.0,,,,,
Headwaters Painting,Painter,"1101 Stinson Blvd NE Suite 110, Minneapolis, MN 55418",Plymouth,+1612-208-6383,hello@headwaterspainting.com,http://www.headwaterspainting.com/,https://www.google.com/maps/search/?api=1&query=Headwaters+Painting+Plymouth+MN,5.0,245.0,,,Painter,https://www.facebook.com/HeadwatersPainting/,https://www.instagram.com/headwaters_painting_llc/?hl=en,,245 reviews,hiring,,ChIJ4dMEKngus1IR9BVSD2qMf68,92.5,,,,,
Fresh Look Painting & Chimney Inspection Services ltd,Painter,"1455 W Medicine Lake Dr, Plymouth, MN 55441",Plymouth,+1612-515-6881,,,https://www.google.com/maps/search/?api=1&query=Fresh+Look+Painting+&+Chimney+Inspection+Services+ltd+Plymouth+MN,5.0,4.0,,,Painter,,,,4 reviews,,,ChIJY6sTgHdKs1IR4YMbL-hsh40,35.0,,,,,
MN Paint Guy - Paint + Remodeling,Painter,"16104 Holdridge Rd W, Wayzata, MN 55391",Plymouth,+1952-492-9153,dan@mnpaintguy.com,http://www.mnpaintguy.com/,https://www.google.com/maps/search/?api=1&query=MN+Paint+Guy+-+Paint+++Remodeling+Plymouth+MN,5.0,8.0,,,Painter,,https://www.instagram.com/mnpaintguy,,8 reviews,,,ChIJqTGEiQy7n0kRi6W83IYI4HM,53.75,,,,,
New Town Exteriors & Painters,Painter,"545 Tamarack Ave # C, Long Lake, MN 55356",Plymouth,+1952-220-4867,553566122210952office@newtownexteriors.com,https://www.newtownexteriors.com/,https://www.google.com/maps/search/?api=1&query=New+Town+Exteriors+&+Painters+Plymouth+MN,4.9,57.0,,,Roofing contractor,https://www.facebook.com/newtownteam/,,,57 reviews,,,ChIJ6zPagoZNs1IRsZFHKJFRW_A,78.75,,,,,
Stellar Painting & Drywall,Painter,"13864 Ridgedale Dr, Minnetonka, MN 55305",Plymouth,+1952-260-8844,,,https://www.google.com/maps/search/?api=1&query=Stellar+Painting+&+Drywall+Plymouth+MN,5.0,11.0,,,Painter,,,,11 reviews,,,ChIJnX6Tv8dLs1IRx-NmyG2wuFc,40.0,,,,,
Blue Eagle Painting Inc,Painter,,Plymouth,+1763-257-3951,Info@blueeaglepainting.com,http://blueeaglepainting.com/,https://www.google.com/maps/search/?api=1&query=Blue+Eagle+Painting+Inc+Plymouth+MN,4.9,32.0,20.0,,Painter,,,,32 reviews,,,ChIJMSBNuLoxs1IR845voT5mkgI,65.0,,,,,
Guarantee Construction Group,Painter,"15070 23rd Ave N, Plymouth, MN 55447",Plymouth,+1612-490-4175,Alex@GcgAmerica.com,https://gcgmn.com/plymouth-mn,https://www.google.com/maps/search/?api=1&query=Guarantee+Construction+Group+Plymouth+MN,5.0,13.0,10.0,,Painting,,,,13 reviews,hiring,,ChIJmXekUsdLs1IRGRDj-I9u0zY,55.0,,,,,
Indy Painting,Painter,,Plymouth,+1612-781-4639,,http://www.indypainting.net/,https://www.google.com/maps/search/?api=1&query=Indy+Painting+Plymouth+MN,4.9,190.0,,,Painter,,,,190 reviews,,wordpress,ChIJd1EjLRcC9ocRikdgtPHGeOs,85.0,,,,,
Pinnacle Painting,Painter,"12800 Industrial Park Blvd #151, Plymouth, MN 55441",Plymouth,+1763-325-5177,sales@pinnaclepaintingmn.com,http://pinnaclepaintingmn.com/,https://www.google.com/maps/search/?api=1&query=Pinnacle+Painting+Plymouth+MN,5.0,5.0,,,Painting,,,,5 reviews,,,ChIJSd7Vq9FLs1IRggaCtIpFMKo,50.0,,,,,
"Ungerman, Inc.",Painter,"14000 21st Ave N, Plymouth, MN 55447",Plymouth,+1612-825-2800,,https://www.ungerman.net/,"https://www.google.com/maps/search/?api=1&query=Ungerman,+Inc.+Plymouth+MN",4.6,236.0,,,Water damage restoration service,,,,236 reviews,,,ChIJgXYr3Mkn9ocR8k23GI9qO54,85.0,,,,,
Century Drywall & Painting,Painter,"7600 Boone Ave N #26, Brooklyn Park, MN 55428",Plymouth,+1763-503-7091,,https://century-drywall.com/?utm_source=GBP-KP&utm_medium=Organic,https://www.google.com/maps/search/?api=1&query=Century+Drywall+&+Painting+Plymouth+MN,4.8,102.0,,,Dry wall contractor,,,,102 reviews,,,ChIJY_zto1Iws1IRkoyImP8NFsA,85.0,,,,,
Durahome Painting Plus,Painter,"504 Prior Ave N, St Paul, MN 55104",Plymouth,+1612-400-8864,,https://www.durahomepainting.com/,https://www.google.com/maps/search/?api=1&query=Durahome+Painting+Plus+Plymouth+MN,4.9,120.0,,,Painter,https://www.facebook.com/durahomepaintingplus/,https://www.instagram.com/durahomepaintingplus/,,120 reviews,,,ChIJVVXpxvQts1IRPm651YsP6yQ,92.5,,,,,
Home Drywall & Painting,Painter,"2817 Anthony Ln S, St Anthony, MN 55418",Plymouth,+1612-816-5333,info@homempls.com,http://www.homedrywallandconstruction.com/,https://www.google.com/maps/search/?api=1&query=Home+Drywall+&+Painting+Plymouth+MN,4.8,572.0,,,Dry wall contractor,https://www.facebook.com/HomeDrywallandPainting/,,,572 reviews,hiring,,ChIJK5iABQAus1IRqS4KZ8CrJRI,88.75,,,,,
La Painting & Cleaning,Painter,,Plymouth,+1507-301-8365,,http://www.lapaintingandcleaning.com/,https://www.google.com/maps/search/?api=1&query=La+Painting+&+Cleaning+Plymouth+MN,5.0,32.0,,,Painter,https://www.facebook.com/Lapaintingandcleaningllc/about,,,32 reviews,,,ChIJgQl2v9WiAkURQGodqrMqUaI,68.75,,,,,
Thompson Quality Painting,Painter,"2032 Edgewater Ave, Arden Hills, MN 55112",Plymouth,+1763-238-9287,,http://thompsonqualitypainting.com/,https://www.google.com/maps/search/?api=1&query=Thompson+Quality+Painting+Plymouth+MN,5.0,43.0,,,Painting,,,,43 reviews,,,ChIJ6UabIc4ps1IR80_JFFWc3kw,65.0,,,,,
FBC Remodel,Bath Remodeler,,Plymouth,,,,https://www.google.com/maps/search/?api=1&query=FBC+Remodel+Plymouth+MN,4.7,120.0,,,,,,,120 reviews,,,FBC Remodel,70.0,,,,,
Nextgen Construction LLC,Bath Remodeler,,Plymouth,,,,https://www.google.com/maps/search/?api=1&query=Nextgen+Construction+LLC+Plymouth+MN,5.0,113.0,,,,,,,113 reviews,,,Nextgen Construction LLC,70.0,,,,,
Xpres Kitchen and Bath,Bath Remodeler,"3650 Annapolis Ln N Suite 140, Plymouth, MN 55447",Plymouth,+1763-392-0111,,https://www.xpresco.com/,https://www.google.com/maps/search/?api=1&query=Xpres+Kitchen+and+Bath+Plymouth+MN,4.6,83.0,,,Bathroom remodeler,https://www.facebook.com/xpreskitchenandbath/,,,83 reviews,,,ChIJVVUV1olJs1IRHOQjtteUnZw,78.75,,,,,
Clear Choice Bath,Bath Remodeler,"9405 36th Ave N Suite A, New Hope, MN 55427",Plymouth,+1844-410-0053,,http://www.clearchoicebath.com/,https://www.google.com/maps/search/?api=1&query=Clear+Choice+Bath+Plymouth+MN,4.8,56.0,22.0,,Bathroom remodeler,https://www.facebook.com/clearchoicebathIA/,,,56 reviews,hiring,,ChIJ9cuRoUY69ocRj0-bHw88Sbo,78.75,,,,,
Minnesota Rusco,Bath Remodeler,"5010 US-169 N, New Hope, MN 55428",Plymouth,+1952-935-9669,,https://minnesotarusco.com/,https://www.google.com/maps/search/?api=1&query=Minnesota+Rusco+Plymouth+MN,4.7,4727.0,,,Bathroom remodeler,https://www.facebook.com/MNRusco/,https://www.instagram.com/minnesotarusco,,4727 reviews,hiring,,ChIJHZIdDMYh9ocRmByKHQMj6xY,92.5,,,,,
Minnesota Shower and Bath,Bath Remodeler,"5010 US-169, New Hope, MN 55428",Plymouth,+1651-646-1687,,https://www.minnesotashowerandbath.com/,https://www.google.com/maps/search/?api=1&query=Minnesota+Shower+and+Bath+Plymouth+MN,4.6,265.0,,,Bathroom remodeler,https://www.facebook.com/minnesotashowerandbath/,,,265 reviews,hiring,,ChIJlUPTo1w2s1IRjRYoVfpzQCI,88.75,,,,,
Minnesota Remodelers LLC,Bath Remodeler,"1400 County Rd 101 Suite G, Plymouth, MN 55447",Plymouth,+1763-260-0716,,https://minnesotaremodelers.com/home-remodeling-services-mn/,https://www.google.com/maps/search/?api=1&query=Minnesota+Remodelers+LLC+Plymouth+MN,4.7,14.0,29.0,,Bathroom remodeler,https://www.facebook.com/p/Minnesota-Remodelers-100063903671626/,,,14 reviews,,,ChIJeWXnaTpLs1IR6UYN859w5F4,58.75,,,,,
"Melco Remodeling, Inc",Bath Remodeler,,Plymouth,+1612-598-6338,,http://melcoremodeling.com/,"https://www.google.com/maps/search/?api=1&query=Melco+Remodeling,+Inc+Plymouth+MN",5.0,41.0,,,Bathroom remodeler,http://www.facebook.com/melcoremodeling/?modal=admin_todo_tour,,,41 reviews,,,ChIJfY0dL_1Ls1IRyEE-DUSSqJA,68.75,,,,,
Add Value Remodeling,Bath Remodeler,"10990 40th Pl N, Plymouth, MN 55441",Plymouth,+1612-889-6422,USinfo@AddValueRemodeling.com,http://addvalueremodeling.com/,https://www.google.com/maps/search/?api=1&query=Add+Value+Remodeling+Plymouth+MN,4.9,34.0,,,Bathroom remodeler,,,,34 reviews,,,ChIJObIFq7M3s1IRKqEVwKBNn3o,65.0,,,,,
Crystal Kitchen + Bath,Bath Remodeler,"3620 Winnetka Ave N, Minneapolis, MN 55427",Plymouth,+1763-544-5950,,https://www.crystalkitchen.com/?utm_campaign=gmb,https://www.google.com/maps/search/?api=1&query=Crystal+Kitchen+++Bath+Plymouth+MN,4.9,47.0,,,Bathroom remodeler,https://www.facebook.com/CrystalKitchenBath/,https://www.instagram.com/crystalkitchenbath/,,47 reviews,,,ChIJ50iBTyg0s1IRDGg7RbXd8TE,72.5,,,,,
A to Z Construction | Bathroom Remodeling | Roofing | Storm Damage Repair,Bath Remodeler,"124 County Rd 81, Maple Grove, MN 55369",Plymouth,+1763-424-1884,info@atoz-construction.com,http://www.atoz-construction.com/,https://www.google.com/maps/search/?api=1&query=A+to+Z+Construction+|+Bathroom+Remodeling+|+Roofing+|+Storm+Damage+Repair+Plymouth+MN,4.9,178.0,21.0,,Bathroom remodeler,https://www.facebook.com/atozcontracting,https://www.instagram.com/a_to_z_construction_inc/,,178 reviews,,,ChIJVzUJcFM4s1IRsQzEREDtifA,92.5,,,,,
Vick Remodeling,Bath Remodeler,"13305 Loveland Cir, Minnetonka, MN 55305",Plymouth,+1952-250-2777,nate@vickremodeling.com,http://vickremodeling.com/,https://www.google.com/maps/search/?api=1&query=Vick+Remodeling+Plymouth+MN,4.9,17.0,,,Bathroom remodeler,https://www.facebook.com/Vick-Remodeling-137080809689223/,,,17 reviews,,,ChIJE9mwi89Ks1IRj2s-r4K8iCo,58.75,,,,,
Cabinets For Everyone,Bath Remodeler,"2062 E Center Cir, Plymouth, MN 55441",Plymouth,+1612-298-3046,cabinetsforeveryone@yahoo.com,https://www.cabinetsforeveryone.com/,https://www.google.com/maps/search/?api=1&query=Cabinets+For+Everyone+Plymouth+MN,4.8,58.0,,,Bathroom remodeler,,,,58 reviews,,,ChIJc9hxrN41s1IROzJjybuRueM,75.0,,,,,
Revival House,Bath Remodeler,"12955 Hwy 55, Plymouth, MN 55441",Plymouth,+1763-717-8500,hello@revivalhouse.design,https://revivalhouse.design/,https://www.google.com/maps/search/?api=1&query=Revival+House+Plymouth+MN,4.4,42.0,14.0,,Bathroom remodeler,https://www.facebook.com/revivalhouse.design/,https://www.instagram.com/p/DCxMAzzTzHg/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,42 reviews,,,ChIJKeZer_wh9ocRlDh-O2ELzMs,62.5,,,,,
Renova One,Bath Remodeler,"2735 Cheshire Ln N, Plymouth, MN 55447",Plymouth,+1763-551-3500,,http://www.renovaone.com/,https://www.google.com/maps/search/?api=1&query=Renova+One+Plymouth+MN,4.0,51.0,,,Flooring contractor,https://www.facebook.com/welcometorenovaone/,https://www.instagram.com/renovationsystems/,https://www.linkedin.com/company/welcometorenovaone,51 reviews,hiring,,ChIJVVWV6DBKs1IR9TU3-Ehm0FM,76.25,,,,,
Midwest Construction & Remodeling,Bath Remodeler,"15098 23rd Ave N, Plymouth, MN 55447",Plymouth,+1763-200-1946,,https://mwcrhomes.com/,https://www.google.com/maps/search/?api=1&query=Midwest+Construction+&+Remodeling+Plymouth+MN,4.9,65.0,,,Bathroom remodeler,,,,65 reviews,hiring,,ChIJX7Ml2CZIs1IRuXw0JaO7zj8,75.0,,,,,
Built,Bath Remodeler,,Plymouth,+1612-281-5777,,,https://www.google.com/maps/search/?api=1&query=Built+Plymouth+MN,5.0,17.0,,,Bathroom remodeler,,,,17 reviews,,,ChIJyRkILdJLs1IRunZOMXu2uAE,40.0,,,,,
JOE BUILDER | Remodeling | New Construction,Bath Remodeler,"5235 Everest Ln N, Plymouth, MN 55446",Plymouth,+1763-307-5774,7047info@joebuilder.co,https://joebuilder.co/,https://www.google.com/maps/search/?api=1&query=JOE+BUILDER+|+Remodeling+|+New+Construction+Plymouth+MN,4.9,43.0,,,Bathroom remodeler,https://www.facebook.com/JoeBuildertwincities/,https://www.instagram.com/joebuildermn/,,43 reviews,,,ChIJpRjB3dMxs1IRdQ7sIywgeW4,72.5,,,,,
Porcelite,Bath Remodeler,"14332 21st Ave N UNIT 100, Minneapolis, MN 55447",Plymouth,+1612-529-7000,shane@thetubguys.net,http://www.porcelite.net/,https://www.google.com/maps/search/?api=1&query=Porcelite+Plymouth+MN,3.0,11.0,,,Bathroom remodeler,https://www.facebook.com/thetubguysmn,,,11 reviews,,,ChIJo8FgNEpKs1IR7-2Qli6g0lM,28.75,,,,,
Remodelers Edge MN,Bath Remodeler,"7036 Polaris Ln N, Maple Grove, MN 55311",Plymouth,+1651-325-6834,contact@remodelersedgeMN.comLet,https://www.remodelersedgemn.com/,https://www.google.com/maps/search/?api=1&query=Remodelers+Edge+MN+Plymouth+MN,5.0,6.0,,,Bathroom remodeler,,,,6 reviews,,,ChIJMSX3UW5Js1IRgmc2cgGVMns,50.0,,,,,
